sim_time,left_pwm,right_pwm,model_pos_x,model_pos_y,theta
4.03,0.30000000000000004,1.3,0.001,0.0,0.019
4.048,0.30000000000000004,1.3,0.002,0.0,0.064
4.154,0.30000000000000004,1.3,0.007,-0.001,0.826
4.244,0.30000000000000004,1.3,0.013,-0.002,1.649
4.341,0.30000000000000004,1.3,0.019,-0.003,2.331
4.441,0.30000000000000004,1.3,0.024,-0.003,2.787
4.542,0.30000000000000004,1.3,0.029,-0.003,2.984
4.652,0.30000000000000004,1.3,0.034,-0.003,3.062
4.744,0.30000000000000004,1.3,0.038,-0.003,3.114
4.843,0.30000000000000004,1.3,0.042,-0.003,3.164
4.941,0.30000000000000004,1.3,0.045,-0.003,3.208
5.041,0.30000000000000004,1.3,0.048,-0.003,3.246
5.141,0.30000000000000004,1.3,0.05,-0.003,3.279
5.253,0.30000000000000004,1.3,0.052,-0.003,3.309
5.342,0.30000000000000004,1.3,0.053,-0.003,3.327
5.447,0.30000000000000004,1.3,0.054,-0.002,3.342
5.544,0.30000000000000004,1.3,0.054,-0.002,3.35
5.643,0.30000000000000004,1.3,0.054,-0.002,3.352
5.674,0.20000000000000001,0.30000000000000004,0.055,-0.002,3.362
5.748,0.20000000000000001,0.30000000000000004,0.056,-0.002,3.407
5.859,0.20000000000000001,0.30000000000000004,0.058,-0.002,3.437
5.944,0.20000000000000001,0.30000000000000004,0.059,-0.002,3.453
6.042,0.20000000000000001,0.30000000000000004,0.059,-0.002,3.465
6.142,0.20000000000000001,0.30000000000000004,0.06,-0.002,3.472
6.244,0.20000000000000001,0.30000000000000004,0.06,-0.002,3.474
6.272,0.70000000000000007,2.2000000000000002,0.061,-0.002,3.489
6.354,0.70000000000000007,2.2000000000000002,0.068,-0.002,4.117
6.441,0.70000000000000007,2.2000000000000002,0.078,-0.004,5.357
6.544,0.70000000000000007,2.2000000000000002,0.091,-0.005,6.842
6.644,0.70000000000000007,2.2000000000000002,0.103,-0.005,7.924
6.747,0.70000000000000007,2.2000000000000002,0.115,-0.005,8.635
6.843,0.70000000000000007,2.2000000000000002,0.125,-0.004,9.028
6.953,0.70000000000000007,2.2000000000000002,0.137,-0.002,9.44
7.047,0.70000000000000007,2.2000000000000002,0.147,-0.001,9.804
7.166,0.70000000000000007,2.2000000000000002,0.158,0.0,10.254
7.241,0.70000000000000007,2.2000000000000002,0.165,0.0,10.536
7.342,0.70000000000000007,2.2000000000000002,0.174,0.001,10.913
7.452,0.70000000000000007,2.2000000000000002,0.183,0.002,11.31
7.558,0.70000000000000007,2.2000000000000002,0.191,0.003,11.685
7.644,0.70000000000000007,2.2000000000000002,0.198,0.003,11.971
7.759,0.70000000000000007,2.2000000000000002,0.205,0.004,12.338
7.842,0.70000000000000007,2.2000000000000002,0.21,0.005,12.585
7.943,0.70000000000000007,2.2000000000000002,0.216,0.006,12.876
8.053,0.70000000000000007,2.2000000000000002,0.222,0.007,13.168
8.141,0.70000000000000007,2.2000000000000002,0.226,0.007,13.385
8.241,0.70000000000000007,2.2000000000000002,0.23,0.008,13.603
8.343,0.70000000000000007,2.2000000000000002,0.233,0.008,13.795
8.453,0.70000000000000007,2.2000000000000002,0.237,0.009,13.971
8.541,0.70000000000000007,2.2000000000000002,0.239,0.009,14.094
8.641,0.70000000000000007,2.2000000000000002,0.241,0.01,14.206
8.751,0.70000000000000007,2.2000000000000002,0.243,0.01,14.296
8.851,0.70000000000000007,2.2000000000000002,0.244,0.01,14.345
8.946,0.70000000000000007,2.2000000000000002,0.244,0.01,14.366
9.043,0.70000000000000007,2.2000000000000002,0.244,0.01,14.37
9.074,1.6000000000000001,2.9000000000000004,0.246,0.011,14.409
9.141,1.6000000000000001,2.9000000000000004,0.256,0.013,14.933
9.241,1.6000000000000001,2.9000000000000004,0.276,0.016,16.348
9.341,1.6000000000000001,2.9000000000000004,0.296,0.02,17.695
9.445,1.6000000000000001,2.9000000000000004,0.316,0.024,19.188
9.548,1.6000000000000001,2.9000000000000004,0.336,0.028,20.777
9.641,1.6000000000000001,2.9000000000000004,0.352,0.032,22.286
9.747,1.6000000000000001,2.9000000000000004,0.371,0.036,24.095
9.846,1.6000000000000001,2.9000000000000004,0.388,0.04,25.872
9.943,1.6000000000000001,2.9000000000000004,0.404,0.045,27.711
10.042,1.6000000000000001,2.9000000000000004,0.419,0.049,29.502
10.144,1.6000000000000001,2.9000000000000004,0.435,0.055,31.65
10.253,1.6000000000000001,2.9000000000000004,0.449,0.059,33.673
10.351,1.6000000000000001,2.9000000000000004,0.462,0.064,35.82
10.449,1.6000000000000001,2.9000000000000004,0.477,0.07,38.259
10.541,1.6000000000000001,2.9000000000000004,0.486,0.073,39.985
10.644,1.6000000000000001,2.9000000000000004,0.497,0.078,42.366
10.752,1.6000000000000001,2.9000000000000004,0.508,0.083,44.668
10.841,1.6000000000000001,2.9000000000000004,0.517,0.087,46.689
10.95,1.6000000000000001,2.9000000000000004,0.527,0.091,49.026
11.044,1.6000000000000001,2.9000000000000004,0.534,0.095,51.055
11.145,1.6000000000000001,2.9000000000000004,0.542,0.099,53.305
11.242,1.6000000000000001,2.9000000000000004,0.549,0.102,55.431
11.345,1.6000000000000001,2.9000000000000004,0.557,0.106,57.678
11.442,1.6000000000000001,2.9000000000000004,0.563,0.11,59.86
11.543,1.6000000000000001,2.9000000000000004,0.569,0.114,61.757
11.643,1.6000000000000001,2.9000000000000004,0.575,0.117,63.633
11.741,1.6000000000000001,2.9000000000000004,0.579,0.12,65.327
11.845,1.6000000000000001,2.9000000000000004,0.584,0.123,66.959
11.942,1.6000000000000001,2.9000000000000004,0.587,0.126,68.331
12.043,1.6000000000000001,2.9000000000000004,0.59,0.128,69.531
12.141,1.6000000000000001,2.9000000000000004,0.593,0.13,70.69
12.243,1.6000000000000001,2.9000000000000004,0.595,0.131,71.373
12.342,1.6000000000000001,2.9000000000000004,0.596,0.132,71.945
12.441,1.6000000000000001,2.9000000000000004,0.597,0.132,72.329
12.549,1.6000000000000001,2.9000000000000004,0.597,0.133,72.45
12.602,0.20000000000000001,0.0,0.597,0.133,72.417
12.649,0.20000000000000001,0.0,0.597,0.133,72.377
12.745,0.20000000000000001,0.0,0.598,0.134,72.352
12.841,0.20000000000000001,0.0,0.598,0.134,72.347
12.871,0.10000000000000001,0.80000000000000004,0.598,0.134,72.364
12.943,0.10000000000000001,0.80000000000000004,0.599,0.136,72.766
13.041,0.10000000000000001,0.80000000000000004,0.601,0.139,73.421
13.143,0.10000000000000001,0.80000000000000004,0.603,0.141,73.872
13.241,0.10000000000000001,0.80000000000000004,0.603,0.143,74.077
13.345,0.10000000000000001,0.80000000000000004,0.604,0.145,74.076
13.452,0.10000000000000001,0.80000000000000004,0.604,0.146,74.016
13.543,0.10000000000000001,0.80000000000000004,0.604,0.146,73.986
13.642,0.10000000000000001,0.80000000000000004,0.604,0.147,73.977
13.67,0.80000000000000004,1.6000000000000001,0.604,0.147,73.969
13.741,0.80000000000000004,1.6000000000000001,0.607,0.153,74.308
13.843,0.80000000000000004,1.6000000000000001,0.611,0.163,75.109
13.941,0.80000000000000004,1.6000000000000001,0.614,0.172,75.652
14.049,0.80000000000000004,1.6000000000000001,0.617,0.181,75.987
14.141,0.80000000000000004,1.6000000000000001,0.619,0.189,76.053
14.251,0.80000000000000004,1.6000000000000001,0.621,0.198,75.833
14.344,0.80000000000000004,1.6000000000000001,0.622,0.204,75.49
14.442,0.80000000000000004,1.6000000000000001,0.623,0.211,75.053
14.541,0.80000000000000004,1.6000000000000001,0.624,0.217,74.688
14.652,0.80000000000000004,1.6000000000000001,0.625,0.224,74.243
14.76,0.80000000000000004,1.6000000000000001,0.626,0.23,73.898
14.846,0.80000000000000004,1.6000000000000001,0.627,0.234,73.613
14.941,0.80000000000000004,1.6000000000000001,0.627,0.238,73.332
15.047,0.80000000000000004,1.6000000000000001,0.628,0.242,73.036
15.147,0.80000000000000004,1.6000000000000001,0.629,0.245,72.809
15.244,0.80000000000000004,1.6000000000000001,0.629,0.248,72.607
15.342,0.80000000000000004,1.6000000000000001,0.63,0.251,72.442
15.441,0.80000000000000004,1.6000000000000001,0.63,0.252,72.304
15.543,0.80000000000000004,1.6000000000000001,0.63,0.254,72.199
15.641,0.80000000000000004,1.6000000000000001,0.63,0.255,72.135
15.747,0.80000000000000004,1.6000000000000001,0.63,0.255,72.105
15.776,2.1000000000000001,2.0,0.631,0.256,72.078
15.844,2.1000000000000001,2.0,0.634,0.266,71.926
15.948,2.1000000000000001,2.0,0.64,0.285,71.491
16.046,2.1000000000000001,2.0,0.644,0.302,70.881
16.143,2.1000000000000001,2.0,0.649,0.318,70.178
16.241,2.1000000000000001,2.0,0.653,0.334,69.376
16.349,2.1000000000000001,2.0,0.658,0.351,68.438
16.442,2.1000000000000001,2.0,0.662,0.366,67.421
16.547,2.1000000000000001,2.0,0.666,0.38,66.31
16.646,2.1000000000000001,2.0,0.67,0.394,65.243
16.744,2.1000000000000001,2.0,0.674,0.407,64.14
16.852,2.1000000000000001,2.0,0.678,0.42,62.816
16.945,2.1000000000000001,2.0,0.681,0.431,61.592
17.042,2.1000000000000001,2.0,0.685,0.442,60.25
17.146,2.1000000000000001,2.0,0.688,0.453,58.723
17.245,2.1000000000000001,2.0,0.691,0.463,57.297
17.343,2.1000000000000001,2.0,0.695,0.473,55.876
17.443,2.1000000000000001,2.0,0.698,0.482,54.442
17.543,2.1000000000000001,2.0,0.701,0.491,52.916
17.653,2.1000000000000001,2.0,0.704,0.499,51.477
17.752,2.1000000000000001,2.0,0.707,0.507,49.983
17.846,2.1000000000000001,2.0,0.71,0.512,48.868
17.943,2.1000000000000001,2.0,0.712,0.519,47.606
18.042,2.1000000000000001,2.0,0.715,0.524,46.399
18.146,2.1000000000000001,2.0,0.717,0.53,45.111
18.241,2.1000000000000001,2.0,0.719,0.534,44.142
18.345,2.1000000000000001,2.0,0.721,0.539,43.004
18.457,2.1000000000000001,2.0,0.723,0.542,42.093
18.548,2.1000000000000001,2.0,0.724,0.545,41.348
18.649,2.1000000000000001,2.0,0.726,0.548,40.631
18.746,2.1000000000000001,2.0,0.727,0.55,40.05
18.861,2.1000000000000001,2.0,0.728,0.552,39.49
18.95,2.1000000000000001,2.0,0.728,0.554,39.132
19.043,2.1000000000000001,2.0,0.729,0.554,38.932
19.148,2.1000000000000001,2.0,0.729,0.555,38.797
19.244,2.1000000000000001,2.0,0.729,0.555,38.777
19.29,0.5,0.5,0.73,0.555,38.779
19.341,0.5,0.5,0.731,0.557,38.786
19.442,0.5,0.5,0.734,0.559,38.823
19.551,0.5,0.5,0.737,0.561,38.901
19.648,0.5,0.5,0.739,0.563,39.008
19.741,0.5,0.5,0.741,0.564,39.115
19.85,0.5,0.5,0.742,0.564,39.298
19.946,0.5,0.5,0.743,0.565,39.405
20.062,0.5,0.5,0.743,0.565,39.444
20.097,0.90000000000000002,1.7000000000000002,0.744,0.566,39.462
20.146,0.90000000000000002,1.7000000000000002,0.75,0.569,40.007
20.246,0.90000000000000002,1.7000000000000002,0.758,0.574,40.85
20.344,0.90000000000000002,1.7000000000000002,0.767,0.58,41.856
20.446,0.90000000000000002,1.7000000000000002,0.776,0.585,42.911
20.541,0.90000000000000002,1.7000000000000002,0.783,0.59,43.948
20.642,0.90000000000000002,1.7000000000000002,0.791,0.594,45.084
20.744,0.90000000000000002,1.7000000000000002,0.798,0.599,46.28
20.868,0.90000000000000002,1.7000000000000002,0.806,0.603,47.843
20.945,0.90000000000000002,1.7000000000000002,0.81,0.606,48.722
21.048,0.90000000000000002,1.7000000000000002,0.815,0.609,49.975
21.162,0.90000000000000002,1.7000000000000002,0.821,0.612,51.373
21.26,0.90000000000000002,1.7000000000000002,0.825,0.614,52.563
21.341,0.90000000000000002,1.7000000000000002,0.828,0.615,53.455
21.448,0.90000000000000002,1.7000000000000002,0.832,0.617,54.594
21.541,0.90000000000000002,1.7000000000000002,0.834,0.618,55.406
21.651,0.90000000000000002,1.7000000000000002,0.837,0.62,56.299
21.741,0.90000000000000002,1.7000000000000002,0.839,0.621,56.887
21.843,0.90000000000000002,1.7000000000000002,0.841,0.622,57.456
21.942,0.90000000000000002,1.7000000000000002,0.842,0.623,57.846
22.042,0.90000000000000002,1.7000000000000002,0.843,0.623,58.109
22.153,0.90000000000000002,1.7000000000000002,0.843,0.623,58.233
22.241,0.90000000000000002,1.7000000000000002,0.843,0.623,58.239
22.354,0.90000000000000002,1.7000000000000002,0.843,0.624,58.24
22.457,0.90000000000000002,1.7000000000000002,0.843,0.624,58.24
22.554,0.90000000000000002,1.7000000000000002,0.843,0.624,58.241
22.641,0.90000000000000002,1.7000000000000002,0.844,0.624,58.242
22.742,0.90000000000000002,1.7000000000000002,0.844,0.624,58.242
22.847,0.90000000000000002,1.7000000000000002,0.844,0.624,58.243
22.902,2.0,2.8000000000000003,0.845,0.625,58.217
22.959,2.0,2.8000000000000003,0.851,0.634,58.475
23.045,2.0,2.8000000000000003,0.862,0.649,59.373
23.146,2.0,2.8000000000000003,0.874,0.666,60.325
23.253,2.0,2.8000000000000003,0.886,0.685,61.233
23.357,2.0,2.8000000000000003,0.897,0.702,61.962
23.446,2.0,2.8000000000000003,0.906,0.717,62.49
23.553,2.0,2.8000000000000003,0.915,0.734,62.951
23.643,2.0,2.8000000000000003,0.923,0.749,63.233
23.741,2.0,2.8000000000000003,0.931,0.764,63.403
23.845,2.0,2.8000000000000003,0.94,0.781,63.426
23.941,2.0,2.8000000000000003,0.946,0.793,63.319
24.041,2.0,2.8000000000000003,0.952,0.807,63.059
24.146,2.0,2.8000000000000003,0.959,0.821,62.631
24.242,2.0,2.8000000000000003,0.964,0.834,62.097
24.352,2.0,2.8000000000000003,0.97,0.848,61.336
24.448,2.0,2.8000000000000003,0.975,0.86,60.574
24.563,2.0,2.8000000000000003,0.981,0.872,59.705
24.645,2.0,2.8000000000000003,0.985,0.881,59.089
24.742,2.0,2.8000000000000003,0.989,0.891,58.332
24.842,2.0,2.8000000000000003,0.993,0.901,57.5
24.943,2.0,2.8000000000000003,0.997,0.91,56.578
25.047,2.0,2.8000000000000003,1.001,0.918,55.584
25.146,2.0,2.8000000000000003,1.004,0.926,54.575
25.242,2.0,2.8000000000000003,1.007,0.933,53.539
25.349,2.0,2.8000000000000003,1.01,0.94,52.35
25.465,2.0,2.8000000000000003,1.013,0.947,51.069
25.544,2.0,2.8000000000000003,1.014,0.952,50.221
25.655,2.0,2.8000000000000003,1.017,0.958,49.118
25.742,2.0,2.8000000000000003,1.018,0.962,48.291
25.842,2.0,2.8000000000000003,1.02,0.966,47.423
25.948,2.0,2.8000000000000003,1.022,0.97,46.575
26.043,2.0,2.8000000000000003,1.023,0.973,45.924
26.16,2.0,2.8000000000000003,1.025,0.976,45.186
26.242,2.0,2.8000000000000003,1.025,0.978,44.826
26.345,2.0,2.8000000000000003,1.026,0.98,44.383
26.452,2.0,2.8000000000000003,1.027,0.981,44.077
26.541,2.0,2.8000000000000003,1.027,0.982,43.889
26.648,2.0,2.8000000000000003,1.027,0.982,43.798
26.742,2.0,2.8000000000000003,1.028,0.982,43.787
26.781,2.5,2.9000000000000004,1.028,0.983,43.784
26.844,2.5,2.9000000000000004,1.038,0.991,43.954
26.941,2.5,2.9000000000000004,1.056,1.008,44.473
27.051,2.5,2.9000000000000004,1.075,1.025,45.016
27.144,2.5,2.9000000000000004,1.094,1.043,45.593
27.241,2.5,2.9000000000000004,1.106,1.055,46.001
27.341,2.5,2.9000000000000004,1.122,1.07,46.514
27.441,2.5,2.9000000000000004,1.137,1.085,47.063
27.541,2.5,2.9000000000000004,1.153,1.1,47.679
27.654,2.5,2.9000000000000004,1.167,1.115,48.326
27.742,2.5,2.9000000000000004,1.179,1.127,48.876
27.85,2.5,2.9000000000000004,1.193,1.141,49.563
27.941,2.5,2.9000000000000004,1.204,1.152,50.141
28.041,2.5,2.9000000000000004,1.216,1.165,50.77
28.142,2.5,2.9000000000000004,1.227,1.177,51.354
28.246,2.5,2.9000000000000004,1.238,1.19,51.897
28.349,2.5,2.9000000000000004,1.248,1.202,52.366
28.456,2.5,2.9000000000000004,1.258,1.213,52.793
28.551,2.5,2.9000000000000004,1.267,1.224,53.114
28.643,2.5,2.9000000000000004,1.274,1.233,53.368
28.757,2.5,2.9000000000000004,1.283,1.244,53.608
28.845,2.5,2.9000000000000004,1.289,1.253,53.733
28.943,2.5,2.9000000000000004,1.296,1.262,53.809
29.05,2.5,2.9000000000000004,1.303,1.271,53.814
29.149,2.5,2.9000000000000004,1.309,1.279,53.748
29.243,2.5,2.9000000000000004,1.314,1.286,53.614
29.342,2.5,2.9000000000000004,1.319,1.294,53.376
29.445,2.5,2.9000000000000004,1.323,1.3,53.141
29.542,2.5,2.9000000000000004,1.327,1.306,52.786
29.641,2.5,2.9000000000000004,1.33,1.311,52.422
29.741,2.5,2.9000000000000004,1.333,1.317,51.956
29.842,2.5,2.9000000000000004,1.336,1.321,51.447
29.947,2.5,2.9000000000000004,1.338,1.326,50.853
30.052,2.5,2.9000000000000004,1.34,1.33,50.213
30.143,2.5,2.9000000000000004,1.341,1.333,49.647
30.241,2.5,2.9000000000000004,1.342,1.335,49.156
30.345,2.5,2.9000000000000004,1.343,1.337,48.708
30.448,2.5,2.9000000000000004,1.344,1.339,48.422
30.542,2.5,2.9000000000000004,1.344,1.34,48.26
30.646,2.5,2.9000000000000004,1.344,1.34,48.188
30.746,2.5,2.9000000000000004,1.344,1.34,48.175
30.77,2.7000000000000002,0.80000000000000004,1.345,1.341,48.16
30.844,2.7000000000000002,0.80000000000000004,1.349,1.347,47.439
30.949,2.7000000000000002,0.80000000000000004,1.357,1.363,44.694
31.045,2.7000000000000002,0.80000000000000004,1.364,1.374,42.825
31.145,2.7000000000000002,0.80000000000000004,1.372,1.386,40.607
31.245,2.7000000000000002,0.80000000000000004,1.38,1.398,38.472
31.342,2.7000000000000002,0.80000000000000004,1.388,1.408,36.408
31.45,2.7000000000000002,0.80000000000000004,1.396,1.419,34.154
31.546,2.7000000000000002,0.80000000000000004,1.404,1.428,32.141
31.646,2.7000000000000002,0.80000000000000004,1.411,1.436,30.227
31.742,2.7000000000000002,0.80000000000000004,1.418,1.444,28.384
31.847,2.7000000000000002,0.80000000000000004,1.426,1.451,26.517
31.946,2.7000000000000002,0.80000000000000004,1.432,1.458,24.78
32.049,2.7000000000000002,0.80000000000000004,1.439,1.464,23.129
32.141,2.7000000000000002,0.80000000000000004,1.445,1.469,21.706
32.253,2.7000000000000002,0.80000000000000004,1.451,1.474,20.17
32.343,2.7000000000000002,0.80000000000000004,1.456,1.479,18.889
32.444,2.7000000000000002,0.80000000000000004,1.46,1.482,17.87
32.543,2.7000000000000002,0.80000000000000004,1.465,1.485,16.82
32.647,2.7000000000000002,0.80000000000000004,1.469,1.488,15.929
32.741,2.7000000000000002,0.80000000000000004,1.473,1.49,15.282
32.849,2.7000000000000002,0.80000000000000004,1.476,1.492,14.794
32.942,2.7000000000000002,0.80000000000000004,1.479,1.493,14.557
33.06,2.7000000000000002,0.80000000000000004,1.481,1.493,14.544
33.144,2.7000000000000002,0.80000000000000004,1.482,1.494,14.623
33.248,2.7000000000000002,0.80000000000000004,1.483,1.494,14.68
33.342,2.7000000000000002,0.80000000000000004,1.484,1.494,14.713
33.445,2.7000000000000002,0.80000000000000004,1.484,1.494,14.725
33.542,2.7000000000000002,0.80000000000000004,1.484,1.494,14.727
33.588,0.40000000000000002,0.5,1.485,1.494,14.74
33.651,0.40000000000000002,0.5,1.487,1.494,14.856
33.741,0.40000000000000002,0.5,1.49,1.495,15.04
33.842,0.40000000000000002,0.5,1.493,1.495,15.225
33.941,0.40000000000000002,0.5,1.495,1.496,15.382
34.043,0.40000000000000002,0.5,1.497,1.496,15.511
34.148,0.40000000000000002,0.5,1.499,1.497,15.62
34.248,0.40000000000000002,0.5,1.5,1.497,15.682
34.347,0.40000000000000002,0.5,1.5,1.497,15.718
34.457,0.40000000000000002,0.5,1.501,1.497,15.73
34.482,0.60000000000000009,1.4000000000000001,1.502,1.497,15.765
34.542,0.60000000000000009,1.4000000000000001,1.507,1.498,16.278
34.641,0.60000000000000009,1.4000000000000001,1.514,1.499,16.979
34.746,0.60000000000000009,1.4000000000000001,1.523,1.5,17.601
34.841,0.60000000000000009,1.4000000000000001,1.53,1.502,18.146
34.942,0.60000000000000009,1.4000000000000001,1.537,1.503,18.704
35.043,0.60000000000000009,1.4000000000000001,1.544,1.505,19.236
35.147,0.60000000000000009,1.4000000000000001,1.551,1.506,19.799
35.251,0.60000000000000009,1.4000000000000001,1.557,1.507,20.302
35.345,0.60000000000000009,1.4000000000000001,1.561,1.508,20.69
35.445,0.60000000000000009,1.4000000000000001,1.566,1.509,21.121
35.541,0.60000000000000009,1.4000000000000001,1.57,1.51,21.494
35.642,0.60000000000000009,1.4000000000000001,1.575,1.511,21.865
35.765,0.60000000000000009,1.4000000000000001,1.579,1.512,22.245
35.858,0.60000000000000009,1.4000000000000001,1.581,1.513,22.474
35.941,0.60000000000000009,1.4000000000000001,1.583,1.513,22.666
36.046,0.60000000000000009,1.4000000000000001,1.585,1.514,22.871
36.142,0.60000000000000009,1.4000000000000001,1.587,1.514,23.015
36.244,0.60000000000000009,1.4000000000000001,1.588,1.514,23.12
36.342,0.60000000000000009,1.4000000000000001,1.588,1.515,23.178
36.445,0.60000000000000009,1.4000000000000001,1.589,1.515,23.198
36.472,0.90000000000000002,1.2000000000000002,1.589,1.515,23.215
36.544,0.90000000000000002,1.2000000000000002,1.595,1.517,23.54
36.645,0.90000000000000002,1.2000000000000002,1.604,1.52,24.189
36.742,0.90000000000000002,1.2000000000000002,1.612,1.522,25.001
36.852,0.90000000000000002,1.2000000000000002,1.619,1.524,25.844
36.941,0.90000000000000002,1.2000000000000002,1.626,1.525,26.554
37.059,0.90000000000000002,1.2000000000000002,1.634,1.528,27.49
37.142,0.90000000000000002,1.2000000000000002,1.638,1.529,28.044
37.25,0.90000000000000002,1.2000000000000002,1.644,1.531,28.776
37.346,0.90000000000000002,1.2000000000000002,1.649,1.532,29.398
37.45,0.90000000000000002,1.2000000000000002,1.654,1.534,30.066
37.541,0.90000000000000002,1.2000000000000002,1.657,1.535,30.516
37.644,0.90000000000000002,1.2000000000000002,1.661,1.536,31.032
37.746,0.90000000000000002,1.2000000000000002,1.664,1.537,31.482
37.863,0.90000000000000002,1.2000000000000002,1.667,1.538,31.951
37.943,0.90000000000000002,1.2000000000000002,1.669,1.539,32.176
38.043,0.90000000000000002,1.2000000000000002,1.671,1.539,32.453
38.148,0.90000000000000002,1.2000000000000002,1.672,1.54,32.643
38.241,0.90000000000000002,1.2000000000000002,1.673,1.54,32.764
38.35,0.90000000000000002,1.2000000000000002,1.673,1.54,32.834
38.45,0.90000000000000002,1.2000000000000002,1.674,1.54,32.846
38.489,1.6000000000000001,1.6000000000000001,1.674,1.541,32.853
38.557,1.6000000000000001,1.6000000000000001,1.682,1.546,32.913
38.644,1.6000000000000001,1.6000000000000001,1.692,1.552,33.067
38.764,1.6000000000000001,1.6000000000000001,1.706,1.56,33.399
38.843,1.6000000000000001,1.6000000000000001,1.716,1.567,33.756
38.943,1.6000000000000001,1.6000000000000001,1.725,1.572,34.107
39.044,1.6000000000000001,1.6000000000000001,1.736,1.578,34.646
39.148,1.6000000000000001,1.6000000000000001,1.745,1.583,35.24
39.245,1.6000000000000001,1.6000000000000001,1.754,1.588,35.89
39.343,1.6000000000000001,1.6000000000000001,1.762,1.593,36.631
39.446,1.6000000000000001,1.6000000000000001,1.77,1.597,37.473
39.542,1.6000000000000001,1.6000000000000001,1.778,1.601,38.398
39.641,1.6000000000000001,1.6000000000000001,1.784,1.604,39.23
39.742,1.6000000000000001,1.6000000000000001,1.791,1.607,40.268
39.844,1.6000000000000001,1.6000000000000001,1.797,1.61,41.258
39.942,1.6000000000000001,1.6000000000000001,1.802,1.612,42.297
40.041,1.6000000000000001,1.6000000000000001,1.807,1.614,43.291
40.144,1.6000000000000001,1.6000000000000001,1.812,1.616,44.248
40.257,1.6000000000000001,1.6000000000000001,1.816,1.618,45.173
40.341,1.6000000000000001,1.6000000000000001,1.818,1.62,45.769
40.444,1.6000000000000001,1.6000000000000001,1.821,1.621,46.414
40.55,1.6000000000000001,1.6000000000000001,1.823,1.622,46.93
40.652,1.6000000000000001,1.6000000000000001,1.825,1.623,47.316
40.754,1.6000000000000001,1.6000000000000001,1.826,1.623,47.54
40.844,1.6000000000000001,1.6000000000000001,1.826,1.624,47.656
40.942,1.6000000000000001,1.6000000000000001,1.827,1.624,47.674
40.97,1.8,0.0,1.827,1.624,47.647
41.041,1.8,0.0,1.828,1.626,47.006
41.148,1.8,0.0,1.831,1.635,45.057
41.246,1.8,0.0,1.834,1.641,43.495
41.367,1.8,0.0,1.838,1.648,41.809
41.448,1.8,0.0,1.84,1.654,40.477
41.546,1.8,0.0,1.842,1.658,39.205
41.643,1.8,0.0,1.845,1.663,37.935
41.742,1.8,0.0,1.847,1.667,36.808
41.841,1.8,0.0,1.848,1.67,35.702
41.946,1.8,0.0,1.85,1.674,34.627
42.047,1.8,0.0,1.852,1.677,33.744
42.151,1.8,0.0,1.853,1.679,32.942
42.241,1.8,0.0,1.854,1.681,32.37
42.343,1.8,0.0,1.855,1.683,31.875
42.453,1.8,0.0,1.855,1.684,31.483
42.542,1.8,0.0,1.856,1.684,31.287
42.641,1.8,0.0,1.856,1.684,31.227
42.744,1.8,0.0,1.856,1.684,31.223
42.792,2.3000000000000003,2.7000000000000002,1.857,1.685,31.243
42.849,2.3000000000000003,2.7000000000000002,1.866,1.691,31.441
42.941,2.3000000000000003,2.7000000000000002,1.884,1.701,31.875
43.041,2.3000000000000003,2.7000000000000002,1.905,1.713,32.398
43.142,2.3000000000000003,2.7000000000000002,1.922,1.723,32.904
43.243,2.3000000000000003,2.7000000000000002,1.941,1.734,33.523
43.343,2.3000000000000003,2.7000000000000002,1.958,1.744,34.177
43.446,2.3000000000000003,2.7000000000000002,1.975,1.754,34.939
43.546,2.3000000000000003,2.7000000000000002,1.991,1.764,35.701
43.647,2.3000000000000003,2.7000000000000002,2.007,1.774,36.569
43.745,2.3000000000000003,2.7000000000000002,2.021,1.783,37.388
43.843,2.3000000000000003,2.7000000000000002,2.035,1.792,38.321
43.942,2.3000000000000003,2.7000000000000002,2.048,1.8,39.353
44.05,2.3000000000000003,2.7000000000000002,2.063,1.809,40.667
44.141,2.3000000000000003,2.7000000000000002,2.073,1.815,41.689
44.242,2.3000000000000003,2.7000000000000002,2.085,1.823,42.963
44.343,2.3000000000000003,2.7000000000000002,2.096,1.83,44.281
44.442,2.3000000000000003,2.7000000000000002,2.106,1.837,45.64
44.548,2.3000000000000003,2.7000000000000002,2.116,1.844,47.108
44.643,2.3000000000000003,2.7000000000000002,2.125,1.85,48.503
44.751,2.3000000000000003,2.7000000000000002,2.134,1.857,49.969
44.866,2.3000000000000003,2.7000000000000002,2.143,1.863,51.604
44.942,2.3000000000000003,2.7000000000000002,2.148,1.867,52.68
45.046,2.3000000000000003,2.7000000000000002,2.155,1.873,54.162
45.144,2.3000000000000003,2.7000000000000002,2.162,1.877,55.499
45.245,2.3000000000000003,2.7000000000000002,2.168,1.882,56.826
45.351,2.3000000000000003,2.7000000000000002,2.173,1.887,58.05
45.442,2.3000000000000003,2.7000000000000002,2.178,1.891,59.072
45.544,2.3000000000000003,2.7000000000000002,2.182,1.895,60.114
45.653,2.3000000000000003,2.7000000000000002,2.186,1.898,60.962
45.743,2.3000000000000003,2.7000000000000002,2.188,1.901,61.596
45.842,2.3000000000000003,2.7000000000000002,2.191,1.904,62.22
45.944,2.3000000000000003,2.7000000000000002,2.193,1.906,62.658
